segment,start_sec,end_sec,dev_mean_hr,ref_mean_hr,AE_mean_hr,dev_rmssd,ref_rmssd,AE_rmssd
0,0.0,10.0,72.9543698492146,72.90806254223588,0.04630730697871854,39.61817764612603,35.077058029430006,4.541119616696022
1,10.0,20.0,71.40754962599681,71.2870132531537,0.12053637284310526,51.068581339214816,49.09175083453431,1.9768305046805068
2,20.0,30.0,69.55288311883346,69.52164237436685,0.031240744466614956,57.8426985692903,58.40852297015869,0.5658244008683937
3,30.0,40.0,66.35703149313093,66.28685538539398,0.07017610773695537,50.0999001995014,48.16637831516918,1.9335218843322153
4,40.0,50.0,69.93254893289193,69.80487848705334,0.12767044583858933,36.974465663632124,36.974465663632124,0.0
5,50.0,60.0,66.79345142289945,66.76685850725218,0.026592915647270843,32.41398874971525,33.333333333333336,0.9193445836180842
6,60.0,70.0,70.52921607681905,70.45167408219945,0.07754199461960809,25.65151067676132,23.62202362203543,2.0294870547258874
7,70.0,80.0,75.7482314063036,75.67511082275828,0.07312058354531814,28.02855686616776,29.556725123057866,1.5281682568901047
8,80.0,90.0,68.91541716155837,68.84290009696706,0.07251706459130958,41.78516483155236,39.89987468652001,1.88529014503235
9,90.0,100.0,66.84016758926943,66.74230615657365,0.09786143269577963,30.56141357987225,30.331501776206203,0.2299118036660488
10,100.0,110.0,70.39137326317508,70.35119848677753,0.040174776397549294,42.833009077890694,41.675998954900756,1.1570101229899379
11,110.0,120.0,73.37106863086413,73.29291249243904,0.0781561384250864,48.09250345832382,46.95151163109069,1.1409918272331296
12,120.0,130.0,75.05498448001792,74.92284788564176,0.13213659437616343,24.851559307214508,26.107470195329153,1.255910888114645
13,130.0,140.0,76.01078385509669,75.61470535942543,0.3960784956712615,27.39018477889885,26.04611295375953,1.34407182513932
14,140.0,150.0,74.21011986434763,74.1190757602758,0.09104410407182684,69.16646586316233,70.8237248385031,1.657258975340767
