segment,start_sec,end_sec,dev_mean_hr,ref_mean_hr,AE_mean_hr,dev_rmssd,ref_rmssd,AE_rmssd,dev_snr,ref_snr,AE_snr
0,0.0,10.0,72.9543698492146,72.90806254223588,0.04630730697871854,39.61817764612603,35.077058029430006,4.541119616696022,0.8534881739948973,0.8938864828140066,0.04039830881910933
1,10.0,20.0,71.40754962599681,71.2870132531537,0.12053637284310526,51.068581339214816,49.09175083453431,1.9768305046805068,0.8702320745834793,0.8957462210328827,0.02551414644940342
2,20.0,30.0,69.55288311883346,69.52164237436685,0.031240744466614956,57.8426985692903,58.40852297015869,0.5658244008683937,0.8806833590516362,0.9023560679880516,0.021672708936415375
3,30.0,40.0,66.35703149313093,66.28685538539398,0.07017610773695537,50.0999001995014,48.16637831516918,1.9335218843322153,0.8847712857262202,0.9055612535405673,0.020789967814347055
4,40.0,50.0,69.93254893289193,69.80487848705334,0.12767044583858933,36.974465663632124,36.974465663632124,0.0,0.8794340959795538,0.89826050382852,0.018826407848966165
5,50.0,60.0,66.79345142289945,66.76685850725218,0.026592915647270843,32.41398874971525,33.333333333333336,0.9193445836180842,0.8843607325545176,0.9041267201406387,0.019765987586121025
6,60.0,70.0,70.52921607681905,70.45167408219945,0.07754199461960809,25.65151067676132,23.62202362203543,2.0294870547258874,0.87559538075922,0.8975870365889022,0.0219916558296821
7,70.0,80.0,75.7482314063036,75.67511082275828,0.07312058354531814,28.02855686616776,29.556725123057866,1.5281682568901047,0.8661533474914828,0.8890258702797952,0.02287252278831242
8,80.0,90.0,68.91541716155837,68.84290009696706,0.07251706459130958,41.78516483155236,39.89987468652001,1.88529014503235,0.880769399182133,0.9004413800726749,0.019671980890541896
9,90.0,100.0,66.84016758926943,66.74230615657365,0.09786143269577963,30.56141357987225,30.331501776206203,0.2299118036660488,0.8832475467388744,0.9025653030953474,0.019317756356473037
10,100.0,110.0,70.39137326317508,70.35119848677753,0.040174776397549294,42.833009077890694,41.675998954900756,1.1570101229899379,0.8760469940341953,0.8966971480382113,0.02065015400401604
11,110.0,120.0,73.37106863086413,73.29291249243904,0.0781561384250864,48.09250345832382,46.95151163109069,1.1409918272331296,0.870753324078971,0.8898889082865331,0.019135584207562117
12,120.0,130.0,75.05498448001792,74.92284788564176,0.13213659437616343,24.851559307214508,26.107470195329153,1.255910888114645,0.8704882994773484,0.8901672128807165,0.019678913403368137
13,130.0,140.0,76.01078385509669,75.61470535942543,0.3960784956712615,27.39018477889885,26.04611295375953,1.34407182513932,0.8652287574020828,0.8892272197095419,0.023998462307459056
14,140.0,150.0,74.21011986434763,74.1190757602758,0.09104410407182684,69.16646586316233,70.8237248385031,1.657258975340767,0.8664853369258552,0.8889785554105606,0.022493218484705424
