feature,device,reference,abs_diff,pct_diff,direction
mean,0.0001542710797241822,0.0005470230480874421,0.0003927519683632599,71.79806586512936,lower
kurtosis,5.778691048572638,6.817605012381954,1.0389139638093159,15.238693968372585,lower
min,-0.25024990155501814,-0.22880520761661632,0.021444693938401815,9.372467594502625,lower
var,0.04144431711858638,0.038810100220682514,0.002634216897903864,6.787451933710926,higher
energy,690.7942744237645,646.8917381142342,43.90253630953032,6.786689908501753,higher
skewness,2.338258634978427,2.5003019940639204,0.1620433590854935,6.48095147986955,lower
iqr,0.11022759267144216,0.10373831559017369,0.00648927708126848,6.25542938918044,higher
r_amp_std,0.014425782887343861,0.015301957680978358,0.0008761747936344971,5.725899992022963,lower
mav,0.13848630389725783,0.13258394776834467,0.005902356128913155,4.451787888550399,higher
std,0.20357877374271213,0.19700279241848961,0.0065759813242225185,3.3380142705049964,higher
rms,0.20357883219566916,0.1970035518839639,0.006575280311705262,3.3376455646739482,higher
median,-0.07732419914306944,-0.07976578794714947,0.002441588804080033,3.060947389747795,higher
range,1.2502499015550181,1.2288052076166163,0.02144469393840187,1.7451662643907475,higher
meandist,47.21909677258227,46.49725919056917,0.7218375820131016,1.552430389616403,higher
r_amp_min,0.9207239642119975,0.9343415841802785,0.013617619968280925,1.4574562664068953,lower
rmssd,37.22068390485091,36.76955262170047,0.4511312831504384,1.2269153443117826,higher
std_hr_filtered,1.5367316326503149,1.5252089797619421,0.01152265288837273,0.7554802680332509,higher
std_hr,1.5367316326503149,1.5252089797619421,0.01152265288837273,0.7554802680332509,higher
std_rr,29.843910702733805,29.658208099448792,0.1857026032850122,0.626142357159007,higher
sdnn,29.843910702733805,29.658208099448792,0.1857026032850122,0.626142357159007,higher
r_amp_median,0.9663519995313077,0.9723216834019066,0.00596968387059893,0.6139618165988567,lower
cv_rr,0.027447168154715276,0.027279781084239813,0.00016738707047546375,0.6135938919691966,higher
r_amp_mean,0.9650004239150896,0.969638429480015,0.00463800556492544,0.47832320006258927,lower
mean_rr,1087.322033898305,1087.1864406779662,0.13559322033893295,0.01247193813918222,higher
mean_hr,55.22359866761433,55.2299105098805,0.006311842266164547,0.011428304351562137,lower
mean_hr_filtered,55.22359866761433,55.2299105098805,0.006311842266164547,0.011428304351562137,lower
min_hr,52.264808362369344,52.264808362369344,0.0,0.0,equal
max_hr,59.28853754940712,59.28853754940712,0.0,0.0,equal
median_hr,54.74452554744525,54.74452554744525,0.0,0.0,equal
pnn50,17.24137931034483,17.24137931034483,0.0,0.0,equal
pnn20,60.3448275862069,60.3448275862069,0.0,0.0,equal
range_rr,136.0,136.0,0.0,0.0,equal
peaks_rejected_pct,0.0,0.0,0.0,0.0,equal
iqr_rr,44.0,44.0,0.0,0.0,equal
n_r_peaks_raw,60.0,60.0,0.0,0.0,equal
n_r_peaks_filtered,60.0,60.0,0.0,0.0,equal
median_rr,1096.0,1096.0,0.0,0.0,equal
r_amp_max,1.0,1.0,0.0,0.0,equal
max,1.0,1.0,0.0,0.0,equal
zcr,0.022018238540916727,0.022018238540916727,0.0,0.0,equal
